id,name,latitude,longitude,offpeak_weekday_price_avg,offpeak_weekend_price_avg,peak_weekday_price_avg,peak_weekend_price_avg,category,store_hours
10048841,강릉 브라운도트 강릉역점,37.75914833,128.9004931,132052.0,221263.0,225210.0,227842.0,Accommodation,
3000446,강릉 라벨르호텔 프리미어 강릉역점,37.76262064,128.9017707,80000.0,133333.0,144142.0,145000.0,Accommodation,
24503,강릉 피크닉,37.75390226,128.8813941,46000.0,85000.0,99000.0,109000.0,Accommodation,
3013417,강릉 세인트존스호텔,37.79128002,128.9209319,237336.0,283281.0,355527.0,426104.0,Accommodation,
10060838,강릉 지브펜션,37.90237171,128.8293575,183500.0,263500.0,183500.0,263500.0,Accommodation,
10063201,강릉 호텔벗,37.70332742,129.0149566,121692.0,235384.0,237846.0,236923.0,Accommodation,
10040724,강릉 썬리치펜션,37.9001358,128.8328566,128461.0,231923.0,231923.0,231923.0,Accommodation,
3009363,강릉 루이스호텔,37.76061081,128.9012769,67818.0,130000.0,155636.0,144000.0,Accommodation,
3016454,호텔하운드 강릉경포,37.78673943,128.9277927,126500.0,226916.0,173500.0,302666.0,Accommodation,
3006187,강릉 스테이바다펜션,37.81477438,128.8945586,100666.0,227333.0,134706.0,234321.0,Accommodation,
1000101679,강릉 더원펜션,37.9020802,128.8295138,145733.0,303501.0,211533.0,311400.0,Accommodation,
10059643,강릉 브라운도트 강릉교동점,37.76323855,128.8760596,86000.0,157000.0,88846.0,176692.0,Accommodation,
10061524,강릉 오션뷰공간스테이,37.8790783,128.8339214,121250.0,115000.0,130000.0,156666.0,Accommodation,
1000102447,강릉 위드 호텔(강릉역점),37.75958543,128.8978718,51250.0,101250.0,76875.0,122500.0,Accommodation,
10064660,강릉 라자스테이션 강릉경포점,37.7996868,128.9127509,50000.0,108571.0,85000.0,130000.0,Accommodation,
3013409,스카이베이 호텔 경포,37.80423002,128.9078219,319443.0,431687.0,450062.0,665112.0,Accommodation,
10042720,SL호텔 강릉,37.88921425,128.8254362,191080.0,253973.0,236686.0,311706.0,Accommodation,
1000139,강릉 에이치에비뉴 (H Avenue) 강릉역점,37.76090237,128.898666,81538.0,166153.0,178846.0,180384.0,Accommodation,
10063103,강릉 사천의밤,37.84137952,128.8751561,67500.0,91000.0,99500.0,122000.0,Accommodation,
10064399,강릉 더이스트펜션,37.81459492,128.8936969,69600.0,144000.0,144000.0,184600.0,Accommodation,
