user_id,accommodation_id,accommodation_name,duration_days,budget,start_date,budget_range
U0001,10065274,강릉 호텔 감재,3,2200000,2025-08-16,
U0002,10060041,강릉 열시반펜션,3,2000000,2025-10-07,
U0003,10064423,강릉 진스테이,3,2800000,2025-02-18,
U0006,10048410,강릉 지지(GG)펜션,2,1000000,2025-04-21,60만원 이상
U0007,1000108328,강릉 게스트하우스 중앙점,2,200000,2025-01-09,20만원 이하
U0008,1000145,강릉 더뷰티호텔,2,400000,2025-10-22,20-40만원
U0009,10060041,강릉 열시반펜션,2,1700000,2025-11-10,
U0010,1000108328,강릉 게스트하우스 중앙점,3,700000,2025-02-18,60만원 이상
U0011,1000108328,강릉 게스트하우스 중앙점,2,400000,2025-08-28,20-40만원
U0012,27857,강릉 미성장모텔,5,1200000,2025-11-15,
U0013,10047953,강릉 1012독채펜션,2,1500000,2025-05-30,
U0015,1000108374,강릉 세인트린느 카라반 게스트하우스,3,300000,2025-01-08,20-40만원
U0016,10040659,강릉 아카펠라 게스트하우스,2,400000,2025-10-21,20-40만원
U0017,10058072,강릉 하이오션618호,3,1400000,2025-02-19,
U0018,10061418,강릉 강문스테이,2,300000,2025-07-17,20-40만원
U0019,1000108328,강릉 게스트하우스 중앙점,2,700000,2025-07-26,60만원 이상
U0020,1000104370,강릉 게스트하우스 뮤,5,500000,2025-10-15,40-60만원
U0022,1000109710,강릉 라라,5,900000,2025-12-22,60만원 이상
U0024,1000108328,강릉 게스트하우스 중앙점,3,600000,2025-09-27,40-60만원
U0026,1000108328,강릉 게스트하우스 중앙점,2,500000,2025-11-08,40-60만원
U0027,1000108328,강릉 게스트하우스 중앙점,3,700000,2025-12-29,60만원 이상
U0028,10057607,강릉 나비잠,5,3200000,2025-01-19,
U0029,10062547,강릉 강문스토리,3,800000,2025-09-27,60만원 이상
U0030,10057607,강릉 나비잠,2,800000,2025-09-27,60만원 이상
U0031,27857,강릉 미성장모텔,5,600000,2025-10-09,40-60만원
U0032,10045118,강릉 글래드펜션,2,300000,2025-03-23,20-40만원
U0033,1000108328,강릉 게스트하우스 중앙점,2,300000,2025-11-15,20-40만원
U0034,1000108328,강릉 게스트하우스 중앙점,3,400000,2025-04-11,20-40만원
U0035,10058072,강릉 하이오션618호,2,1800000,2025-06-25,
U0036,10058072,강릉 하이오션618호,2,1600000,2025-08-25,
U0037,10058072,강릉 하이오션618호,2,800000,2025-02-23,60만원 이상
U0038,10060041,강릉 열시반펜션,2,500000,2025-09-03,40-60만원
U0041,3014292,강릉 휠,3,300000,2025-05-26,20-40만원
U0042,1000109710,강릉 라라,5,1000000,2025-08-11,60만원 이상
U0043,10040659,강릉 아카펠라 게스트하우스,4,500000,2025-11-09,40-60만원
U0044,3017781,강릉 아스라,2,400000,2025-08-23,20-40만원
U0045,3014465,강릉 타워모텔,3,700000,2025-01-31,60만원 이상
U0046,10045242,강릉 더시월독채펜션,3,1400000,2025-08-27,
U0047,10048130,강릉 라임비치스파펜션,4,3500000,2025-10-29,
U0048,1000108328,강릉 게스트하우스 중앙점,2,200000,2025-03-28,20만원 이하
U0049,1000108374,강릉 세인트린느 카라반 게스트하우스,3,500000,2025-07-10,40-60만원
U0051,1000108328,강릉 게스트하우스 중앙점,2,600000,2025-05-01,40-60만원
U0053,10060041,강릉 열시반펜션,2,500000,2025-09-17,40-60만원
U0054,1000108328,강릉 게스트하우스 중앙점,2,200000,2025-02-21,20만원 이하
U0055,1000108328,강릉 게스트하우스 중앙점,3,600000,2025-06-08,40-60만원
U0056,1000108328,강릉 게스트하우스 중앙점,3,600000,2025-04-18,40-60만원
